m χ̃ [GeV], xsec [fb],  uncertainty [fb]
100.0,      8766.08,    517.621
125.0,      3782.8,     235.43
150.0,      1907.04,    126.192
175.0,      1063.01,    73.7751
200.0,      637.14,     46.5066
225.0,      402.717,    30.8673
250.0,      265.255,    21.1263
275.0,      180.802,    14.9232
300.0,      126.627,    10.8212
325.0,      90.6096,    7.9809
350.0,      66.3319,    6.07824
375.0,      49.2359,    4.60991
400.0,      37.12,      3.57812
425.0,      28.3325,    2.80898
450.0,      21.8561,    2.20924
475.0,      17.0676,    1.77199
500.0,      13.4441,    1.43549
525.0,      10.6671,    1.1752
550.0,      8.52674,    0.962412
575.0,      6.86761,    0.797123
600.0,      5.56289,    0.665467
625.0,      4.52654,    0.544023
650.0,      3.71232,    0.458682
675.0,      3.05164,    0.387201
700.0,      2.5208,     0.327628
725.0,      2.09484,    0.283497
750.0,      1.73984,    0.238501
775.0,      1.45562,    0.202704
800.0,      1.2175,     0.175172
825.0,      1.02139,    0.142823
850.0,      0.862477,   0.128463
875.0,      0.727098,   0.111186
900.0,      0.623379,   0.0974831
925.0,      0.529463,   0.0826968
950.0,      0.450722,   0.0738302
975.0,      0.385788,   0.0622388
1000.0,     0.329002,   0.0521727
1025.0,     0.280284,   0.0474706
1050.0,     0.240707,   0.0430882
1075.0,     0.213287,   0.0377717
1100.0,     0.180922,   0.0360823
1125.0,     0.155356,   0.0280178
1150.0,     0.135615,   0.0262367
1175.0,     0.115356,   0.0232758
1200.0,     0.100687,   0.0168488
1225.0,     0.0862252,  0.0190064
1250.0,     0.0762914,  0.0178031
1275.0,     0.0662261,  0.0165332
1300.0,     0.0605883,  0.0110105
1325.0,     0.0504674,  0.00934855
1350.0,     0.0464939,  0.0137161
1375.0,     0.0406594,  0.00783768
1400.0,     0.0303342,  0.00620691
1425.0,     0.030426,   0.00632462
1450.0,     0.0303359,  0.00644575
1475.0,     0.0202839,  0.00440125
1500.0,     0.0200469,  0.00467065
1525.0,     0.0175652,  0.00419402
1550.0,     0.0154289,  0.00373529
1575.0,     0.0137032,  0.00346894
1600.0,     0.0120888,  0.0028772
1625.0,     0.010602,   0.002622
1650.0,     0.00942027, 0.00245189
1675.0,     0.00830173, 0.00217528
1700.0,     0.00718864, 0.00187223
1725.0,     0.00633142, 0.00162956
1750.0,     0.0055801,  0.00147077
1775.0,     0.00491951, 0.00133538
1800.0,     0.0043716,  0.00124894
1825.0,     0.00383388, 0.00106927
1850.0,     0.00337664, 0.00100039
1875.0,     0.00297123, 9.148310e-04
1900.0,     0.00263965, 8.395900e-04
1925.0,     0.00238853, 7.631700e-04
1950.0,     0.002042,   6.747160e-04
1975.0,     0.00176972, 5.753120e-04
2000.0,     0.00155291, 5.239350e-04
